period,year,month,headline,pub_date,happiness_score,matched_words,total_words,coverage_ratio
Before,2006,9,"Tami Swartz, Adam Klein",2006-09-17T04:00:00+0000,5.37,2,4,0.5
Before,2006,9,Charities Launch Plan to Help African Farming,2006-09-12T04:00:00+0000,5.95,6,7,0.9
Before,2006,9,Opening Shows Snub Conventional Wisdom,2006-09-11T05:00:00+0000,6.08,4,5,0.8
Before,2006,9,Moon Bats & Wing Nuts,2006-09-03T05:00:00+0000,6.37,3,4,0.8
Before,2006,9,"Paid Notice: Deaths   OSTOW, MORTIMER",2006-09-26T05:00:00+0000,4.65,3,5,0.6
Before,2006,9,Race Matters,2006-09-10T05:00:00+0000,5.5,2,2,1.0
Before,2006,9,"Paid Notice: Deaths   RUBINFELD, CHAIM",2006-09-16T05:00:00+0000,4.65,3,5,0.6
Before,2006,9,Search Fails to Find U.S. Major in Kyrgyzstan,2006-09-08T04:00:00+0000,5.04,8,9,0.9
Before,2006,9,Everybody Still Loves Raymond,2006-09-21T19:09:43+0000,6.25,4,4,1.0
Before,2006,9,‘Playback After Dark’ Comes to DVD,2006-09-03T05:00:00+0000,5.22,5,6,0.8
Before,2006,9,Minister of Riverside Church to Step Down,2006-09-18T04:00:00+0000,5.15,7,7,1.0
Before,2006,9,Teenager Is Shot to Death in Bronx Apartment Complex,2006-09-25T04:00:00+0000,4.42,8,9,0.9
Before,2006,9,Bathroom Dispute Halts Chess Championship,2006-09-29T04:00:00+0000,5.69,4,5,0.8
Before,2006,9,New Report That Senator Uttered Slurs,2006-09-27T04:00:00+0000,5.28,4,6,0.7
Before,2006,9,Hillary Clinton And Triangulation,2006-09-06T05:00:00+0000,5.34,3,4,0.8
Before,2006,9,Strahan Says He’s Not Worried,2006-09-29T04:00:00+0000,4.4,5,6,0.8
Before,2006,9,African Union Peacekeepers’ Stay in Darfur Is Extended as Accord on U.N. Force Is Awaited,2006-09-21T04:00:00+0000,5.37,13,16,0.8
Before,2006,9,Corrections,2006-09-24T04:00:00+0000,,0,1,0.0
Before,2006,9,Would Ruth Have Left New Orleans?,2006-09-02T05:00:00+0000,5.51,6,6,1.0
Before,2006,9,"Democrats Force a Debate, but Can't Get a Vote on Rumsfeld",2006-09-07T05:00:00+0000,5.17,11,12,0.9
Before,2006,9,Arizona 5,2006-09-26T20:15:20+0000,5.58,1,1,1.0
Before,2006,9,"Despite Equal Cancer Care, a Racial Disparity Persists",2006-09-26T05:00:00+0000,4.66,6,8,0.8
Before,2006,9,People,2006-09-25T05:00:00+0000,6.16,1,1,1.0
Before,2006,9,Reveling in Reich Around the City,2006-09-29T04:00:00+0000,5.46,4,6,0.7
Before,2006,9,Corrections,2006-09-28T05:00:00+0000,,0,1,0.0
Before,2006,9,73% of Delphi Union Workers Agree to Leave by End of Year,2006-09-27T04:00:00+0000,5.26,10,11,0.9
Before,2006,9,TRANSACTIONS,2006-09-28T05:00:00+0000,5.74,1,1,1.0
Before,2006,9,Corrections,2006-09-21T05:00:00+0000,,0,1,0.0
Before,2006,9,Effort to Combat Child Pornography Would Close Web Sites,2006-09-21T05:00:00+0000,5.43,8,9,0.9
Before,2006,9,"Remembering, From a Distance",2006-09-10T05:00:00+0000,5.3,4,4,1.0
Before,2006,9,"200,000 Voters Are Steered Wrong",2006-09-12T22:36:28+0000,4.63,3,4,0.8
Before,2006,9,Medicare Head Confirms Plan He Will Resign,2006-09-06T04:00:00+0000,5.77,5,7,0.7
Before,2006,9,Hollywood Studios Eyes Dubai Listing,2006-09-18T12:25:11+0000,5.87,4,5,0.8
Before,2006,9,Wall Street on the Greens,2006-09-27T10:09:23+0000,5.24,4,5,0.8
Before,2006,9,Firefighter Was Quick to Offer Help to All,2006-09-10T04:00:00+0000,5.64,7,8,0.9
Before,2006,9,Sad Season for Boston Takes Turn for Worse,2006-09-01T04:00:00+0000,4.68,8,8,1.0
Before,2006,9,Why I Should Run the U.N.,2006-09-28T04:00:00+0000,5.28,7,7,1.0
Before,2006,9,Questions Raised About C.I.A. Prisons,2006-09-08T05:00:00+0000,5.43,6,7,0.9
Before,2006,9,"In a Graying Japan, Lower Shelves and Wider Aisles",2006-09-04T04:00:00+0000,5.26,6,9,0.7
Before,2006,9,Times Company Puts Its Nine Television Stations Up for Sale,2006-09-13T11:10:13+0000,5.65,10,10,1.0
Before,2006,9,Morning Buzz,2006-09-06T14:22:34+0000,6.09,2,2,1.0
Before,2006,9,"Intel to Cut Work Force by 10,500",2006-09-06T04:00:00+0000,4.52,5,6,0.8
Before,2006,9,Sofia Coppola’s Paris,2006-09-24T04:00:00+0000,5.95,2,4,0.5
Before,2006,9,John Adams Talks to His Books,2006-09-03T05:00:00+0000,5.68,6,6,1.0
Before,2006,9,Stolen Munch Paintings Are Recovered,2006-09-01T04:00:00+0000,5.3,4,5,0.8
Before,2006,9,Apple Festivals: Crisp and Fresh From the Tree,2006-09-08T05:00:00+0000,6.2,6,8,0.8
Before,2006,9,Staten Island Loses and Faces Dominant Pitcher in Final Game,2006-09-14T05:00:00+0000,5.39,10,10,1.0
Before,2006,9,Interior Official Says She Will Not Try to Recoup Lease Money,2006-09-22T05:00:00+0000,5.54,10,11,0.9
Before,2006,9,Are Night Creams’ Benefits Just a Dream?,2006-09-21T05:00:00+0000,6.11,6,7,0.9
Before,2006,9,Bitter Disagreement Over School Boards,2006-09-24T05:00:00+0000,4.81,4,5,0.8
Before,2006,9,Councilwoman Wins Primary for House Seat,2006-09-13T05:00:00+0000,6.15,5,6,0.8
Before,2006,9,Maine: Lawsuit Over Phone Records,2006-09-22T04:00:00+0000,5.21,5,5,1.0
Before,2006,9,"Gayle Klinger, Samuel Gradess",2006-09-17T04:00:00+0000,5.3,1,4,0.2
Before,2006,9,"Paid Notice: Deaths   POLSTER, EVELYN M.",2006-09-21T05:00:00+0000,4.89,5,6,0.8
Before,2006,9,Mauresmo Rolls Into Semis,2006-09-06T17:17:39+0000,5.3,2,4,0.5
Before,2006,9,World Business Briefing | Americas: Canada: Bid for Sears Canada Extended,2006-09-28T05:00:00+0000,5.83,9,10,0.9
Before,2006,9,An Evening of Premieres and Praise,2006-09-09T05:00:00+0000,5.79,5,6,0.8
Before,2006,9,Corrections,2006-09-26T05:00:00+0000,,0,1,0.0
Before,2006,9,Building Codes After 9/11 (1 Letter),2006-09-16T04:00:00+0000,5.65,3,4,0.8
Before,2006,9,"Francesca Segrè, Bernard Chen",2006-09-03T04:00:00+0000,5.12,1,4,0.2
Before,2006,9,Robbers Shoot Woman in a Midtown Building,2006-09-21T04:00:00+0000,5.45,6,7,0.9
Before,2006,9,"Strained, Army Looks to Guard for More Relief",2006-09-22T05:00:00+0000,5.52,7,8,0.9
Before,2006,9,Debunking Anna,2006-09-24T04:00:00+0000,5.78,1,2,0.5
Before,2006,9,The Paris of Brassaï Goes on Sale,2006-09-30T04:00:00+0000,5.7,6,7,0.9
Before,2006,9,‘West Wing’ to West Coast: TV’s Auteur Portrays TV,2006-09-11T05:00:00+0000,5.9,8,10,0.8
Before,2006,9,Talk to the Taliban,2006-09-18T05:00:00+0000,5.34,3,4,0.8
Before,2006,9,There’s a New Bad Guy in Town,2006-09-17T04:00:00+0000,5.27,8,8,1.0
Before,2006,9,World Briefing | Asia: India: Treating 'Black Fever',2006-09-12T05:00:00+0000,5.36,6,7,0.9
Before,2006,9,World Briefing | Europe: Britain: Exit Forecast For Blair,2006-09-06T05:00:00+0000,5.63,8,8,1.0
Before,2006,9,Roethlisberger’s Ability to Heal Is Tested Anew,2006-09-04T04:00:00+0000,5.64,6,8,0.8
Before,2006,9,Pros and Cons of a Zoning Diet: Fighting Obesity by Limiting Fast-Food Restaurants,2006-09-24T05:00:00+0000,5.36,9,14,0.6
Before,2006,9,My Satirical Self,2006-09-17T05:00:00+0000,6.2,2,3,0.7
Before,2006,9,"Paid Notice: Deaths   BOEGNER, MARGARET PHIPPS",2006-09-18T05:00:00+0000,4.83,4,6,0.7
Before,2006,9,"Paid Notice: Deaths   VAN HOVEN, JOHN EMERSON JR.",2006-09-17T05:00:00+0000,4.94,6,8,0.8
Before,2006,9,H.P. Before a Skeptical Congress,2006-09-29T05:00:00+0000,4.91,5,6,0.8
Before,2006,9,"Dwarf Planet, Cause of Strife, Gains ‘the Perfect Name’",2006-09-15T04:00:00+0000,5.71,8,9,0.9
Before,2006,9,"Alcatel May Support Lucent Deal, but Not Happily",2006-09-05T11:38:01+0000,5.27,5,8,0.6
Before,2006,9,"Paid Notice: Deaths   RILANDER, ARTHUR",2006-09-28T05:00:00+0000,4.84,4,5,0.8
Before,2006,9,INSIDE,2006-09-05T05:00:00+0000,5.4,1,1,1.0
Before,2006,9,When Hailing a Cab Means Waving a Bonus,2006-09-03T04:00:00+0000,5.72,7,8,0.9
Before,2006,9,Don’t Like a Director? Spy on Him,2006-09-08T05:00:00+0000,5.43,8,8,1.0
Before,2006,9,Police Officer in New Jersey Kept Evidence in Storage,2006-09-24T05:00:00+0000,5.52,9,9,1.0
Before,2006,9,The City That Silver Built,2006-09-24T04:00:00+0000,5.66,5,5,1.0
Before,2006,9,"Mal Edelstein, Gerald Daffner",2006-09-17T04:00:00+0000,4.76,2,4,0.5
Before,2006,9,Bidding War Starts for Chip Maker,2006-09-11T04:00:00+0000,4.84,5,6,0.8
Before,2006,9,Who Will Have the Bigger Press Plane?,2006-09-25T16:15:35+0000,5.7,7,7,1.0
Before,2006,9,Race Spotlight | Florida Senate,2006-09-08T12:00:26+0000,5.88,4,4,1.0
Before,2006,9,World Briefing | Europe: Britain: 30 Unionists Snub Blair,2006-09-13T05:00:00+0000,5.82,5,7,0.7
Before,2006,9,The Bloomberg Vista,2006-09-10T04:00:00+0000,5.29,3,3,1.0
Before,2006,9,Wal-Mart to Test Price Cuts on Range of Generic Drugs,2006-09-21T04:00:00+0000,4.55,8,11,0.7
Before,2006,9,"On These Mean Streets, Going a Little Travis Bickle",2006-09-05T04:00:00+0000,5.03,7,9,0.8
Before,2006,9,Cloudlike Clothes to Upstage Stars,2006-09-13T05:00:00+0000,6.18,3,5,0.6
Before,2006,9,Ends Without Means,2006-09-14T04:00:00+0000,4.32,3,3,1.0
Before,2006,9,Motorola Dials Up Deal for Vertasent,2006-09-26T11:27:52+0000,5.89,3,6,0.5
Before,2006,9,To Our Readers,2006-09-20T05:00:00+0000,5.74,3,3,1.0
Before,2006,9,"Ann Richards, Ex-Governor of Texas, Dies at 73",2006-09-14T04:00:00+0000,4.56,7,8,0.9
Before,2006,9,"Elizabeth Kennedy, Nicholas Vitek",2006-09-24T05:00:00+0000,5.75,3,4,0.8
Before,2006,9,25 Die in Crash of German High-Speed Train,2006-09-23T04:00:00+0000,4.87,8,8,1.0
Before,2006,9,Why I Should Run the U.N.; Go Global,2006-09-28T05:00:00+0000,5.39,9,9,1.0
Before,2006,9,"In N.Y. and Around U.S., a Day to Remember",2006-09-11T04:00:00+0000,5.37,11,11,1.0
Before,2006,9,Europe Is Not Ready to Impose Sanctions on Iran,2006-09-01T04:00:00+0000,4.96,9,9,1.0
Before,2006,9,Will Memories Be Made of This?,2006-09-10T04:00:00+0000,5.79,6,6,1.0
Before,2006,9,"Man, 18, Killed Outside S.I. Club",2006-09-25T04:00:00+0000,5.01,6,6,1.0
Before,2006,9,"The Gay 60's, 70's, 80's and 90's",2006-09-10T05:00:00+0000,4.97,7,7,1.0
Before,2006,9,Chicago Mayor Vetoes Big-Store Minimum Wage,2006-09-12T05:00:00+0000,5.65,6,7,0.9
Before,2006,9,Wartime Heroism With an Arab Face,2006-09-10T04:00:00+0000,5.29,4,6,0.7
Before,2006,9,"Good Weekend, Now",2006-09-22T21:47:34+0000,7.03,3,3,1.0
Before,2006,9,Corrections,2006-09-02T05:00:00+0000,,0,1,0.0
Before,2006,9,Replacements Urged for Icebreakers,2006-09-27T05:00:00+0000,4.88,2,4,0.5
Before,2006,9,A Jurist’s Argument for Bending the Constitution,2006-09-19T05:00:00+0000,4.98,6,8,0.8
Before,2006,9,"A Man, a Woman and a Girl, 12, Are Shot Dead on a Bridgeport Street; a Suspect Is Held",2006-09-08T04:00:00+0000,5.02,17,18,0.9
Before,2006,9,What’s Your Mood: Chaotic Epic or Childlike Journey?,2006-09-07T05:00:00+0000,5.68,7,9,0.8
Before,2006,9,"Paid Notice: Deaths   FORKER, HELEN ELIZABETH ''BETTY''",2006-09-18T05:00:00+0000,5.12,6,7,0.9
Before,2006,9,Timeout in Fifth Set Is Time Well Spent for Haas,2006-09-05T04:00:00+0000,5.49,8,10,0.8
Before,2006,9,Germany’s MAN Said to Be Mulling Bid for Scania,2006-09-12T14:58:31+0000,5.42,8,10,0.8
Before,2006,9,"City Charts Gains in Safety, but Finds Streets and Pest Control Declining",2006-09-15T05:00:00+0000,5.63,9,12,0.8
Before,2006,9,"Mona Maisami, Scott Marimow",2006-09-17T05:00:00+0000,5.08,1,4,0.2
Before,2006,9,Congressman Faces Up to 27 Months in Prison,2006-09-15T04:00:00+0000,5.01,6,7,0.9
Before,2006,9,"A Solemn, Sad Moment to Reflect, but Politics Also Surfaces",2006-09-12T05:00:00+0000,4.91,9,10,0.9
Before,2006,9,"Lisa Fishman, Samuel Lehr",2006-09-17T04:00:00+0000,5.45,2,4,0.5
Before,2006,9,"For Cancer Survivors, a Job Hunt Can Be the Next Big Obstacle",2006-09-17T04:00:00+0000,5.19,11,12,0.9
Before,2006,9,U.S. Wants More Data on Alaskan Oil Line,2006-09-01T04:00:00+0000,5.41,8,9,0.9
Before,2006,9,Enlisting Science’s Lessons to Entice More Shoppers to Spend More,2006-09-19T04:00:00+0000,5.67,8,11,0.7
Before,2006,9,Ohio 1,2006-09-29T20:17:13+0000,5.22,1,1,1.0
Before,2006,9,News Summary,2006-09-11T05:00:00+0000,5.58,2,2,1.0
Before,2006,9,"At a Secret Interrogation, Dispute Flared Over Tactics",2006-09-10T05:00:00+0000,4.77,6,8,0.8
Before,2006,9,Democrats Form New Group For Fund-Raising and Ads,2006-09-14T05:00:00+0000,5.65,9,9,1.0
Before,2006,9,Putting All the Elements Together,2006-09-15T05:00:00+0000,5.78,5,5,1.0
Before,2006,9,"10 Brands to Freshen, Plus Linens",2006-09-02T04:00:00+0000,5.83,3,5,0.6
Before,2006,9,"Navratilova, Nearing 50, Advances in Mixed Doubles",2006-09-08T05:00:00+0000,5.74,3,6,0.5
Before,2006,9,The Trials of the Century,2006-09-22T04:00:00+0000,5.08,5,5,1.0
Before,2006,9,Thai Military to Keep Hand in Government for Time Being,2006-09-27T04:00:00+0000,5.47,10,10,1.0
Before,2006,9,A Star Trying to Hide in Plain Sight,2006-09-27T04:00:00+0000,5.53,8,8,1.0
Before,2006,9,Blog Blast: The Caucus,2006-09-08T19:47:20+0000,5.07,3,4,0.8
Before,2006,9,An Industry Is Based on a Simple Masquerade,2006-09-11T05:00:00+0000,5.35,7,8,0.9
Before,2006,9,Virginia Senate,2006-09-28T19:24:01+0000,5.49,2,2,1.0
Before,2006,9,Back on Track in Space,2006-09-22T05:00:00+0000,5.47,5,5,1.0
Before,2006,9,Judge Halts Effort to Recoup Mistaken Medicare Refunds,2006-09-29T05:00:00+0000,4.93,5,8,0.6
Before,2006,9,"Arts, Briefly; 'Dancing' Brings Happiness to ABC",2006-09-14T05:00:00+0000,6.19,7,7,1.0
Before,2006,9,Morning Buzz,2006-09-08T14:16:41+0000,6.09,2,2,1.0
Before,2006,9,"Paid Notice: Deaths   MATKOVICH, VLADO I.",2006-09-10T05:00:00+0000,4.96,4,6,0.7
Before,2006,9,Private Equity Gives Buffett a Run for His Money,2006-09-19T11:41:33+0000,5.89,8,9,0.9
Before,2006,9,What Indonesia Can Teach the U.S.,2006-09-01T01:29:41+0000,5.37,7,7,1.0
Before,2006,9,KAREN HAWLEY JUDAY: ‘It’s Still Like Yesterday’,2006-09-11T16:36:00+0000,5.46,6,8,0.8
Before,2006,9,Fuel for Thought,2006-09-30T04:00:00+0000,5.67,3,3,1.0
Before,2006,9,"Paid Notice: Deaths   CATE, WILLIAM CLARK, SR.",2006-09-25T05:00:00+0000,4.94,6,7,0.9
Before,2006,9,European Union’s Plunging Birthrates Spread Eastward,2006-09-04T04:00:00+0000,5.62,4,7,0.6
Before,2006,9,"Paid Notice: Memorials   GLUCKSMAN, LEWIS L.",2006-09-05T05:00:00+0000,5.79,4,6,0.7
Before,2006,9,The Week Ahead in College Football,2006-09-18T04:00:00+0000,5.82,6,6,1.0
Before,2006,9,For the Record,2006-09-09T04:00:00+0000,5.33,3,3,1.0
Before,2006,9,Primary Contest for Governor Overshadowed,2006-09-10T05:00:00+0000,5.5,4,5,0.8
Before,2006,9,"In Europe, Cheap Flights Come at a Price",2006-09-18T04:00:00+0000,5.54,8,8,1.0
Before,2006,9,Dell Founder Backs CEO as U.S. Widens Accounting Inquiry,2006-09-12T04:00:00+0000,5.29,9,10,0.9
Before,2006,9,Advances in Trail Running Since Pocahontas,2006-09-07T04:00:00+0000,5.76,5,6,0.8
Before,2006,9,Spitzer: ‘Take That to the Bank’,2006-09-26T20:15:30+0000,5.2,5,6,0.8
Before,2006,9,Accounts,2006-09-18T05:00:00+0000,4.96,1,1,1.0
Before,2006,9,"Rated R, for Obscure Reasons",2006-09-08T05:00:00+0000,5.19,4,5,0.8
Before,2006,9,"Lebanon Throng Hails Hezbollah Chief, Who Calls Militia Stronger",2006-09-23T04:00:00+0000,5.68,5,9,0.6
Before,2006,9,Aiming to Level a Global Playing Field,2006-09-03T04:00:00+0000,5.81,6,7,0.9
Before,2006,9,Error-Free Can Be Good Enough,2006-09-14T04:00:00+0000,5.75,6,6,1.0
Before,2006,9,Serving Their Clients,2006-09-03T04:00:00+0000,5.45,3,3,1.0
Before,2006,9,"Another Met Opera Season Begins, With Puccini’s ‘Butterfly’",2006-09-26T04:00:00+0000,5.88,8,9,0.9
Before,2006,9,British TV Movie Imagines Assassination of Bush,2006-09-01T04:00:00+0000,5.8,5,7,0.7
Before,2006,9,This Is No Street Corner Hot Dog,2006-09-02T04:00:00+0000,5.09,7,7,1.0
Before,2006,9,Treasury Official Gives Up Hedge Fund-Related Payments,2006-09-08T16:53:42+0000,5.93,7,8,0.9
Before,2006,9,A Producer’s Hit Broadway Memorial,2006-09-22T04:00:00+0000,5.34,6,6,1.0
Before,2006,9,How Women Think,2006-09-10T04:00:00+0000,6.0,3,3,1.0
Before,2006,9,"Peacekeepers Have ‘Robust’ Mandate, Rice Says",2006-09-26T04:00:00+0000,5.85,3,6,0.5
Before,2006,9,"Retirement Made Easy, Sort Of",2006-09-23T04:00:00+0000,5.77,5,5,1.0
Before,2006,9,Choosing a Backup Buddy,2006-09-28T05:00:00+0000,5.95,3,4,0.8
Before,2006,9,Company Acts in Outbreak From Spinach,2006-09-29T05:00:00+0000,5.4,4,6,0.7
Before,2006,9,Telling Time in Swedish,2006-09-24T05:00:00+0000,5.51,3,4,0.8
Before,2006,9,Texas Pacific and Hellman Team Up for Intergraph Deal,2006-09-01T11:51:01+0000,5.84,7,9,0.8
Before,2006,9,Big-Thinking Band Extracts Metal From a Mountain,2006-09-11T05:00:00+0000,5.88,7,8,0.9
Before,2006,9,Fact Check: Cuomo Link?,2006-09-28T21:35:52+0000,5.74,4,4,1.0
Before,2006,9,History and Science: The Video Games,2006-09-12T05:00:00+0000,6.12,6,6,1.0
Before,2006,9,"Radio Programming for Women, Whatever That Means",2006-09-19T05:00:00+0000,5.7,7,7,1.0
Before,2006,9,Spare Times,2006-09-01T04:00:00+0000,5.66,2,2,1.0
Before,2006,9,"Memorable Man, Memorable Wines",2006-09-22T18:18:17+0000,6.09,2,4,0.5
Before,2006,9,"Paid Notice: Deaths   SMIT, JACOBUS WILHELMUS (WIM)",2006-09-13T05:00:00+0000,4.65,3,7,0.4
Before,2006,9,Museums and Gallery Listings,2006-09-15T04:00:00+0000,5.93,4,4,1.0
Before,2006,9,H.P. Read Messages of Reporter,2006-09-30T05:00:00+0000,5.41,6,6,1.0
Before,2006,9,Prescription for a Stronger F.D.A.,2006-09-28T04:00:00+0000,5.36,6,7,0.9
Before,2006,9,AIDS Money Suddenly at Risk,2006-09-01T05:00:00+0000,4.98,5,5,1.0
Before,2006,9,Corrections,2006-09-10T05:00:00+0000,,0,1,0.0
Before,2006,9,"In Search of a Better Life, and a Place to Be Accepted",2006-09-06T05:00:00+0000,5.72,12,12,1.0
Before,2006,9,Lebanese Documentary Unveils 1980’s Tape of a Prisoner,2006-09-07T04:00:00+0000,4.95,6,8,0.8
Before,2006,9,With Harrods as Your Neighbor,2006-09-20T05:00:00+0000,5.65,4,5,0.8
Before,2006,9,Boolah-Moolah Kickoff Time,2006-09-01T04:00:00+0000,5.74,1,4,0.2
Before,2006,9,Mets Pick New Class AAA Team,2006-09-22T04:00:00+0000,5.87,5,6,0.8
Before,2006,9,"Paid Notice: Deaths   SCHMIDT, GUSTAV H., S.J.",2006-09-26T05:00:00+0000,4.8,6,8,0.8
Before,2006,9,Second Free Newspaper Aims to Attract London Commuters,2006-09-05T04:00:00+0000,6.3,7,8,0.9
Before,2006,9,News Summary,2006-09-17T05:00:00+0000,5.58,2,2,1.0
Before,2006,9,"In a Rare Step, Pope Expresses Personal Regret",2006-09-18T05:00:00+0000,5.27,7,8,0.9
Before,2006,9,Rising to the Challenge of ‘Fantasia’ (and ‘Hello Muddah’),2006-09-28T05:00:00+0000,5.63,7,9,0.8
Before,2006,9,A CITIZEN'S CALENDAR,2006-09-10T05:00:00+0000,5.38,4,4,1.0
Before,2006,9,"Medicare Chief to Leave Agency, Paper Reports",2006-09-04T04:00:00+0000,5.29,7,7,1.0
